afar	ẩ
affix	afix
affray	afray
affrays	afrays
aft	àt
air	ải
airs	ái
ajar	ẩ
amass	amas
arc	ảc
arch	ảch
arcs	ác
arm	ảm
arms	ám
array	aray
arrays	arays
art	ảt
arts	át
as	á
asp	áp
asps	áp
ass	as
assay	asay
assays	asays
assn	asn
asst	ast
aura	ẩu
auras	ấu
aw	ă
ax	ã
axis	ái
baa	bâ
baas	bấ
bangs	báng
bans	bán
bar	bả
barf	bà
barfs	bá
barn	bản
barns	bán
bars	bá
basis	bái
bass	bas
bassi	basi
basso	baso
bassos	basos
bast	bát
bats	bát
bays	báy
bee	bê
beech	bêch
beef	bề
beefs	bế
been	bên
beep	bêp
beeps	bếp
beer	bể
beers	bế
bees	bế
beet	bêt
beets	bết
bereft	bềt
beret	bểt
berets	bết
berm	bẻm
berms	bém
beset	bết
besets	bết
best	bét
bests	bét
bets	bét
bias	bía
biff	bif
biffs	bifs
bins	bín
birch	bỉch
bits	bít
boar	bỏa
boars	bóa
boas	bóa
boast	boát
boasts	boát
boats	boát
bongo	bông
bongos	bống
bongs	bóng
boo	bô
boom	bôm
booms	bốm
boon	bôn
boons	bốn
boor	bổ
boors	bố
boos	bố
boost	bốt
boosts	bốt
boot	bôt
boots	bốt
bops	bóp
borax	bõa
bore	bỏe
borer	bỏe
borers	bóe
bores	bóe
born	bỏn
boron	bổn
bosom	bốm
bosoms	bốm
boss	bos
bosses	boses
bow	bơ
bows	bớ
box	bõ
boxen	boẽn
boxer	bỏe
boxers	bóe
boxes	bóe
buff	buf
buffoon	bufoon
buffoons	bufoons
buffs	bufs
bums	búm
bungs	búng
buns	bún
bur	bủ
burn	bủn
burns	bún
burp	bủp
burps	búp
burr	bur
burrow	burow
burrows	burows
burrs	burs
bursar	bủa
bursars	búa
burs	bú
burst	bút
bursts	bút
bury	bủy
bus	bú
buss	bus
bust	bút
busts	bút
busy	búy
buts	bút
buys	búy
cams	cám
cans	cán
caps	cáp
carat	cẩt
carats	cất
car	cả
carcass	carcas
carp	cảp
carps	cáp
carry	cary
cars	cá
cart	cảt
carts	cát
cast	cát
casts	cát
cats	cát
caw	că
caws	cắ
censer	cển
censers	cến
chaff	chaf
chaffs	chafs
chair	chải
chairs	chái
chaos	cháo
chaps	cháp
char	chả
charm	chảm
charms	chám
chars	chá
chart	chảt
charts	chát
chary	chảy
chasm	chám
chasms	chám
chassis	chasis
chats	chát
cheep	chêp
cheeps	chếp
cheer	chể
cheers	chế
chef	chè
chefs	ché
chess	ches
chest	chét
chests	chét
chew	chê
chews	chế
chiefer	chỉê
chiefest	chiết
chins	chín
chips	chíp
chirp	chỉp
chirps	chíp
chits	chít
choir	chỏi
choirs	chói
chops	chóp
chore	chỏe
chores	chóe
chose	chóe
chosen	choén
chow	chơ
chows	chớ
chums	chúm
churn	chủn
churns	chún
cirrus	cirus
cis	cí
coast	coát
coasts	coát
coats	coát
coax	cõa
coffer	cofer
coffers	cofers
coif	còi
coifs	cói
conj	cọn
cons	cón
coo	cô
coon	côn
coons	cốn
coop	côp
coops	cốp
coos	cố
coot	côt
coots	cốt
cops	cóp
core	cỏe
cores	cóe
corm	cỏm
corms	cóm
corn	cỏn
corns	cón
corp	cỏp
corps	cóp
corsair	coải
corsairs	coái
corset	coét
corsets	coét
cosmos	cốm
cost	cót
costs	cót
cots	cót
cow	cơ
cows	cớ
cox	cõ
cuff	cuf
cuffs	cufs
cums	cúm
cups	cúp
